I;II;III;IV;V;Hasła klasyfikacyjne;KA km;KA ki;Uwagi
0;;;;;ORGANY JEDNOOSOBOWE I KOLEGIALNE;;;
0;00;;;;PRZEPISY PRAWNE DOTYCZĄCE ORGANÓW JEDNOOSOBOWYCH I KOLEGIALNYCH;B-10;Bc;
0;00;001;;;Prezydent Rzeczypospolitej Polskiej – wybory Prezydenta RP;B-5;;Postępowanie z dokumentacją wyborczą regulują odrębne przepisy
0;00;002;;;Sejm i Senat Rzeczypospolitej Polskiej;;;
0;00;002;0020;;Wybory do Sejmu i Senatu RP;B-5;Bc;Postępowanie z dokumentacją wyborczą regulują  odrębne przepisy
0;00;002;0021;;Komisje sejmowe;B-5;Bc;
0;00;002;0022;;Zespoły poselskie;B-5;Bc;
0;00;002;0023;;Spotkania posłów z wyborcami;B-5;Bc;
0;00;002;0024;;Interpelacje, wnioski i postulaty posłów;B-5;Bc;
0;00;002;0025;;Spotkania senatorów z wyborcami;B-5;Bc;
0;00;002;0026;;Interwencje, wnioski i postulaty senatorów;B-5;Bc;
0;00;003;;;Referenda;;;
0;00;003;0030;;Referendum ogólnokrajowe;B-5;Bc;Postępowanie z dokumentacją  referendum regulują odrębne przepisy
0;00;003;0031;;Referendum wojewódzkie;B-5;Bc;Postępowanie z dokumentacją referendum  regulują odrębne przepisy
0;00;003;0032;;Referendum powiatowe;B-5;Bc;Postępowanie z dokumentacją referendum regulują odrębne przepisy
0;00;003;0033;;Referendum gminne;B-5;Bc;Postępowanie z dokumentacją referendum regulują odrębne przepisy
0;00;004;;;Organy samorządu terytorialnego;;;
0;00;004;0040;;Wybory organów samorządu terytorialnego;BE-5;Bc;Wybory do rad: gminy, powiatu i sejmiku województwa oraz wybory wójtów, burmistrzów i prezydentów miast. Postępowanie z dokumentacją wyborczą regulują odrębne przepisy zestawienie i protokoły wyników
0;00;004;0041;;Wybory organów jednostek pomocniczych gminy;BE-5;Bc;Do rad sołeckich i rad dzielnic (osiedli). Do kategorii A zalicza się protokoły głosowania,
